분,신,종목명,현재가,등락률,거래대금,매수비율(%),전일비,종목코드
신,,DB,"1,605","9.11","1,637","67.33","121",'012030
신,,DB하이텍,"121,500","4.11","83,413","51.27","108",'000990
신,,HD현대중공업,"508,000","0.20","185,754","43.81","74",'329180
신,,HPSP,"44,400","12.98","171,684","51.45","122",'403870
신,,KB금융,"187,800","9.57","472,097","50.30","97",'105560
신,,KT&G,"175,000","-0.79","68,489","53.25","101",'033780
신,,LG,"102,200","0.89","40,860","57.44","62",'003550
신,,LG디스플레이,"11,010","3.09","42,115","63.17","73",'034220
신,,LG씨엔에스,"71,100","2.89","67,846","57.37","70",'064400
신,,LG에너지솔루션,"328,000","4.63","113,813","53.84","56",'373220
신,,LG이노텍,"741,000","","472,027","43.51","115",'011070
신,,LG전자,"182,700","2.64","434,658","53.41","59",'066570
신,,LS,"329,500","5.10","50,493","47.96","61",'006260
신,,NC,"248,500","-0.40","24,142","35.47","70",'036570
신,,NHN,"38,500","1.58","10,593","52.31","246",'181710
신,,OCI홀딩스,"198,600","8.41","40,184","52.36","85",'010060
신,,SFA반도체,"5,350","7.32","7,915","59.23","71",'036540
신,,SK,"662,000","8.52","217,064","48.89","94",'034730
신,,SK스퀘어,"1,418,000","6.86","1,698,098","44.53","88",'402340
신,,SK텔레콤,"89,200","2.88","87,308","42.89","59",'017670
신,,SK하이닉스,"2,201,000","0.69","18,233,029","45.68","76",'000660
,,네오티스,"17,960","19.18","7,073","40.65","160",'085910
신,,네패스,"22,200","7.51","6,103","50.35","69",'033640
신,,네패스아크,"39,750","14.06","16,578","42.02","194",'330860
신,,대덕,"14,900","8.76","1,720","56.97","77",'008060
신,,대덕전자,"120,900","7.95","307,690","35.39","311",'353200
신,,대한항공,"26,750","0.19","99,513","46.80","89",'003490
신,,더블유게임즈,"61,800","-2.98","6,407","48.54","81",'192080
정,,더존비즈온,"120,000","","0","","",'012510
신,,동진쎄미켐,"47,850","11.02","27,756","51.85","58",'005290
신,,두산,"1,378,000","14.55","178,537","54.83","90",'000150
신,,두산로보틱스,"74,500","5.82","28,202","55.50","49",'454910
,,드림시큐리티,"2,280","8.83","4,521","52.22","205",'203650
신,,디아이티,"18,180","9.98","3,301","60.44","96",'110990
