분,신,종목명,현재가,등락률,거래대금,매수비율(%),전일비,종목코드
신,,DB,"1,840","-2.39","1,811","40.71","185",'012030
신,,DB하이텍,"153,500","-0.65","200,809","53.05","183",'000990
신,,HD현대중공업,"666,000","-2.63","483,810","43.50","146",'329180
,,HPSP,"56,600","-4.71","597,800","44.85","80",'403870
신,,KB금융,"158,700","-2.70","383,658","46.04","137",'105560
신,,KT&G,"180,000","-0.22","62,007","37.02","150",'033780
신,,LG,"108,000","-1.73","102,281","42.15","166",'003550
신,,LG디스플레이,"13,570","0.30","80,772","46.58","162",'034220
신,,LG씨엔에스,"85,400","-5.11","260,152","41.74","143",'064400
신,,LG에너지솔루션,"404,500","1.13","390,069","53.61","209",'373220
신,,LG이노텍,"1,147,000","-10.60","1,607,283","38.66","95",'011070
신,,LG전자,"212,000","-7.22","1,246,755","38.89","153",'066570
신,,LS,"410,000","-1.80","158,781","49.25","154",'006260
신,,NC,"280,500","8.51","95,896","51.97","322",'036570
신,,NHN,"38,350","-5.66","13,256","38.04","103",'181710
신,,OCI홀딩스,"254,000","-6.45","115,718","37.56","100",'010060
신,,SFA반도체,"6,800","-5.56","15,828","38.13","116",'036540
신,,SK,"743,000","8.15","503,663","55.33","167",'034730
신,,SK스퀘어,"1,803,000","6.06","3,887,300","48.74","127",'402340
신,,SK텔레콤,"94,500","-1.46","376,720","44.58","194",'017670
신,,SK하이닉스,"2,755,000","2.61","34,707,849","47.76","124",'000660
,,네오티스,"25,650","-5.70","4,997","43.51","126",'085910
신,,네패스,"33,000","-9.09","24,428","46.34","151",'033640
,,네패스아크,"50,300","-4.73","13,230","59.48","94",'330860
신,,대덕,"19,850","-5.48","2,633","42.91","136",'008060
신,,대덕전자,"156,300","-6.74","168,626","43.59","120",'353200
신,,대한항공,"28,000","-2.95","176,884","42.01","142",'003490
신,,더블유게임즈,"65,200","-2.25","12,438","45.20","190",'192080
신,,더존비즈온,"119,700","-0.25","489","11.65","40",'012510
