종목번호,종목명,현재가,대비,등락률,거래량
000070,삼양홀딩스,"52,200",▼,"-2,100","-3.87%","32,930"
000080,하이트진로,"15,720",▼,"-390","-2.42%","281,120"
000100,유한양행,"71,700",▼,"-5,800","-7.48%","504,548"
000120,CJ대한통운,"77,600",▼,"-4,300","-5.25%","158,562"
000150,두산,"1,600,000",▼,"-140,000","-8.05%","168,763"
000210,DL,"45,000",▼,"-5,100","-10.18%","144,438"
000240,한국앤컴퍼니,"23,950",▼,"-850","-3.43%","147,691"
000250,삼천당제약,"221,000",▼,"-71,000","-24.32%","901,818"
000270,기아,"151,700",▼,"-9,400","-5.83%","1,678,721"
000320,노루홀딩스,"15,930",▼,"-1,130","-6.62%","28,342"
000500,가온전선,"283,500",▼,"-23,000","-7.50%","75,932"
000640,동아쏘시오홀딩스,"81,200",▼,"-4,100","-4.81%","34,704"
000660,SK하이닉스,"1,977,000",▼,"-93,000","-4.49%","12,348,853"
000670,영풍,"45,550",▼,"-3,500","-7.14%","31,419"
000720,현대건설,"116,300",▼,"-15,600","-11.83%","1,328,722"
000810,삼성화재,"676,000",▼,"-19,000","-2.73%","190,940"
000880,한화,"115,000",▼,"-10,300","-8.22%","405,402"
0008Z0,에스엔시스,"23,550",▼,"-2,100","-8.19%","101,470"
000990,DB하이텍,"157,500",▼,"-16,300","-9.38%","702,589"
0009K0,에임드바이오,"23,300",▼,"-3,200","-12.08%","567,527"
001040,CJ,"169,500",▼,"-14,300","-7.78%","266,088"
001060,JW중외제약,"24,300",▼,"-1,700","-6.54%","122,605"
001120,LX인터내셔널,"38,050",▼,"-1,500","-3.79%","222,775"
001130,대한제분,"11,290",▼,"-190","-1.66%","41,850"
001270,부국증권,"55,600",▼,"-6,200","-10.03%","23,775"
001430,세아베스틸지주,"44,300",▼,"-4,650","-9.50%","309,450"
001450,현대해상,"34,150",▼,"-1,650","-4.61%","823,557"
001460,BYC,"34,000",▼,"-2,750","-7.48%","9,533"
001500,현대차증권,"8,690",▼,"-850","-8.91%","414,541"
001530,DI동일,"21,500",▼,"-1,800","-7.73%","115,946"
001630,종근당홀딩스,"40,300",▼,"-1,750","-4.16%","17,111"
001680,대상,"17,880",▼,"-600","-3.25%","167,289"
001720,신영증권,"167,300",▼,"-27,300","-14.03%","95,493"
001750,한양증권,"21,350",▼,"-1,050","-4.69%","55,355"
001800,오리온홀딩스,"24,200",▼,"-1,750","-6.74%","187,857"
001940,KISCO홀딩스,"20,850",▼,"-350","-1.65%","12,342"
002020,코오롱,"44,600",▼,"-6,400","-12.55%","350,889"
002030,아세아,"172,200",▼,"-100","-0.06%","9,018"
002240,고려제강,"17,770",▼,"-720","-3.89%","42,549"
002320,한진,"15,550",▼,"-810","-4.95%","60,026"
002380,KCC,"492,000",▼,"-50,000","-9.23%","46,956"
002710,TCC스틸,"11,500",▼,"-1,350","-10.51%","265,104"
002790,아모레퍼시픽홀딩스,"21,250",▼,"-750","-3.41%","176,309"
002810,삼영무역,"20,950",▼,"-100","-0.48%","67,704"
002840,미원상사,"115,900",▼,"-3,800","-3.17%","4,050"
002960,한국쉘석유,"489,000",▼,"-13,000","-2.59%","2,563"
003030,세아제강지주,"136,200",▼,"-7,300","-5.09%","26,701"
003090,대웅,"16,490",▼,"-1,360","-7.62%","163,289"
003120,일성아이에스,"18,290",▼,"-790","-4.14%","6,947"
003160,디아이,"23,700",▼,"-3,050","-11.40%","469,631"
003200,일신방직,"9,620",▼,"-670","-6.51%","38,952"
003220,대원제약,"12,160",▲,"920","+8.19%","12,437,366"
003230,삼양식품,"1,065,000",▼,"-55,000","-4.91%","60,189"
003240,태광산업,"818,000",▼,"-52,000","-5.98%","3,253"
003300,한일홀딩스,"16,120",▼,"-680","-4.05%","31,003"
003490,대한항공,"23,950",▼,"-950","-3.82%","3,044,838"
003540,대신증권,"27,950",▼,"-2,050","-6.83%","262,855"
003550,LG,"112,800",▼,"-10,100","-8.22%","1,303,574"
003570,SNT다이내믹스,"39,900",▼,"-2,900","-6.78%","60,958"
003670,포스코퓨처엠,"189,800",▼,"-19,200","-9.19%","507,543"
003690,코리안리,"12,860",▼,"-190","-1.46%","592,135"
003850,보령,"7,960",▼,"-390","-4.67%","253,994"
003920,남양유업,"43,650",▼,"-1,700","-3.75%","23,149"
003960,사조대림,"25,050",▼,"-1,550","-5.83%","14,345"
004000,롯데정밀화학,"45,500",▼,"-2,550","-5.31%","84,964"
004020,현대제철,"32,900",▼,"-3,000","-8.36%","1,362,694"
004170,신세계,"563,000",▼,"-87,000","-13.38%","173,098"
004360,세방,"12,800",▼,"-740","-5.47%","75,051"
004370,농심,"367,000",▼,"-6,500","-1.74%","40,185"
004490,세방전지,"49,300",▼,"-4,200","-7.85%","94,046"
004690,삼천리,"116,700",▼,"-4,300","-3.55%","18,521"
004700,조광피혁,"61,400",▼,"-2,400","-3.76%","3,205"
004800,효성,"169,200",▼,"-9,800","-5.47%","62,768"
004980,성신양회,"7,930",▼,"-480","-5.71%","215,304"
004990,롯데지주,"24,200",▼,"-1,100","-4.35%","414,989"
005070,코스모신소재,"40,800",▼,"-5,200","-11.30%","391,250"
005090,SGC에너지,"47,000",▲,"150","+0.32%","507,743"
005180,빙그레,"66,600",▼,"-2,600","-3.76%","53,990"
005250,녹십자홀딩스,"9,550",▼,"-890","-8.52%","465,581"
005290,동진쎄미켐,"49,000",▼,"-5,900","-10.75%","1,044,338"
005300,롯데칠성,"103,300",▼,"-4,700","-4.35%","29,832"
005380,현대차,"642,000",▼,"-58,000","-8.29%","2,958,154"
005420,코스모화학,"10,820",▼,"-1,360","-11.17%","328,929"
005440,현대지에프홀딩스,"12,000",▼,"-640","-5.06%","263,614"
005490,POSCO홀딩스,"361,000",▼,"-29,000","-7.44%","801,657"
005500,삼진제약,"18,690",▼,"-1,610","-7.93%","292,281"
005610,삼립,"39,650",▼,"-1,150","-2.82%","12,604"
005690,파미셀,"12,140",▼,"-1,190","-8.93%","1,473,726"
005710,대원산업,"9,800",▼,"-430","-4.20%","33,779"
005810,풍산홀딩스,"35,100",▼,"-2,050","-5.52%","85,408"
005830,DB손해보험,"137,000",▼,"-5,400","-3.79%","259,321"
005850,에스엘,"63,700",▼,"-6,000","-8.61%","254,877"
005930,삼성전자,"302,500",▼,"-26,500","-8.05%","74,800,514"
005940,NH투자증권,"29,650",▼,"-2,100","-6.61%","1,699,283"
006040,동원산업,"32,250",▼,"-2,000","-5.84%","100,838"
006110,삼아알미늄,"62,500",▼,"-9,400","-13.07%","449,012"
006120,SK디스커버리,"44,050",▼,"-1,400","-3.08%","28,677"
006260,LS,"376,500",▼,"-34,000","-8.28%","239,281"
006280,녹십자,"118,700",▼,"-8,200","-6.46%","80,117"
006360,GS건설,"25,350",▼,"-2,350","-8.48%","1,684,082"
006400,삼성SDI,"507,000",▼,"-61,000","-10.74%","1,127,448"
006650,대한유화,"112,200",▼,"-9,900","-8.11%","47,496"
006800,미래에셋증권,"50,100",▼,"-6,300","-11.17%","7,508,700"
007070,GS리테일,"23,100",▼,"-900","-3.75%","141,449"
007160,사조산업,"41,800",▼,"-2,500","-5.64%","13,035"
007310,오뚜기,"318,000",▼,"-10,500","-3.20%","7,413"
007340,DN오토모티브,"37,750",▼,"-3,500","-8.48%","207,098"
007660,이수페타시스,"107,700",▼,"-13,200","-10.92%","1,569,135"
007690,국도화학,"30,100",▼,"-700","-2.27%","30,376"
007700,F&F홀딩스,"15,200",▼,"-830","-5.18%","23,586"
007810,코리아써키트,"107,900",▼,"-9,800","-8.33%","397,543"
008060,대덕,"18,360",▼,"-1,350","-6.85%","101,155"
008490,서흥,"17,640",▼,"-660","-3.61%","54,287"
008730,율촌화학,"16,050",▼,"-1,450","-8.29%","164,246"
008770,호텔신라,"52,300",▼,"-3,000","-5.42%","504,002"
008930,한미사이언스,"28,300",▼,"-3,350","-10.58%","229,265"
009150,삼성전기,"1,692,000",▼,"-65,000","-3.70%","2,024,693"
009240,한샘,"28,700",▼,"-2,050","-6.67%","73,822"
009420,한올바이오파마,"49,950",▼,"-7,950","-13.73%","581,035"
009450,경동나비엔,"64,600",▼,"-3,100","-4.58%","61,562"
009520,포스코엠텍,"13,300",▼,"-1,650","-11.04%","334,821"
009540,HD한국조선해양,"357,500",▼,"-21,500","-5.67%","312,356"
009680,모토닉,"9,700",▼,"-270","-2.71%","46,275"
009830,한화솔루션,"34,750",▼,"-3,650","-9.51%","1,922,346"
009900,명신산업,"7,960",▼,"-730","-8.40%","405,901"
009970,영원무역홀딩스,"173,800",▼,"-12,200","-6.56%","25,836"
010060,OCI홀딩스,"266,500",▼,"-32,000","-10.72%","330,441"
010120,LS ELECTRIC,"208,000",▼,"-19,000","-8.37%","1,305,731"
010130,고려아연,"1,146,000",▼,"-119,000","-9.41%","35,745"
010140,삼성중공업,"26,500",▼,"-1,250","-4.50%","9,053,153"
010690,화신,"11,450",▲,"2,090","+22.33%","14,642,962"
010780,아이에스동서,"24,350",▼,"-1,800","-6.88%","124,290"
010950,S-Oil,"107,600",▼,"-5,200","-4.61%","427,447"
011070,LG이노텍,"1,129,000",▼,"-31,000","-2.67%","880,569"
011170,롯데케미칼,"72,800",▼,"-4,700","-6.06%","216,039"
011200,HMM,"18,600",▼,"-850","-4.37%","2,379,529"
011210,현대위아,"72,000",▼,"-8,000","-10.00%","319,292"
011760,현대코퍼레이션,"23,700",▼,"-950","-3.85%","62,431"
011780,금호석유화학,"119,800",▼,"-7,300","-5.74%","92,391"
011790,SKC,"130,500",▼,"-11,800","-8.29%","1,385,646"
0120G0,삼양바이오팜,"46,900",▼,"-4,600","-8.93%","46,293"
012330,현대모비스,"610,000",▼,"-87,000","-12.48%","1,422,267"
012450,한화에어로스페이스,"999,000",▼,"-50,000","-4.77%","277,538"
012510,더존비즈온,"119,800",▼,"-200","-0.17%","22,944"
012630,HDC,"18,900",▼,"-1,450","-7.13%","167,866"
0126Z0,삼성에피스홀딩스,"402,000",▼,"-42,000","-9.46%","83,218"
012750,에스원,"70,600",▼,"-3,000","-4.08%","118,142"
013030,하이록코리아,"32,200",▼,"-2,300","-6.67%","69,267"
013890,지누스,"8,890",▼,"-120","-1.33%","37,370"
014620,성광벤드,"27,800",▼,"-2,650","-8.70%","232,262"
014680,한솔케미칼,"230,500",▼,"-26,000","-10.14%","82,408"
014820,동원시스템즈,"19,100",▼,"-1,300","-6.37%","60,286"
014830,유니드,"64,300",▼,"-3,200","-4.74%","38,689"
014940,오리엔탈정공,"4,880",▼,"-520","-9.63%","483,373"
015360,INVENI,"14,160",▼,"-380","-2.61%","46,454"
015750,성우하이텍,"6,260",▼,"-450","-6.71%","1,046,400"
015760,한국전력,"35,900",▼,"-2,200","-5.77%","3,375,567"
016360,삼성증권,"110,400",▼,"-13,000","-10.53%","1,017,924"
016590,신대양제지,"8,530",▼,"-480","-5.33%","51,747"
016610,DB증권,"10,060",▼,"-790","-7.28%","147,513"
016800,퍼시스,"27,300",▼,"-600","-2.15%","630"
017390,서울가스,"53,300",▼,"-2,000","-3.62%","9,449"
017670,SK텔레콤,"106,800",▲,"400","+0.38%","9,063,768"
017800,현대엘리베이터,"74,900",▼,"-2,600","-3.35%","267,352"
017810,풀무원,"9,200",▼,"-430","-4.47%","179,657"
017860,DS단석,"13,940",▼,"-1,310","-8.59%","200,798"
017940,E1,"82,100",▼,"-2,900","-3.41%","14,516"
017960,한국카본,"29,650",▼,"-2,600","-8.06%","723,674"
018250,애경산업,"11,130",▼,"-670","-5.68%","117,614"
018260,삼성에스디에스,"264,000",▲,"11,500","+4.55%","1,965,178"
018290,브이티,"11,270",▼,"-1,050","-8.52%","362,003"
018310,삼목에스폼,"20,100",▼,"-300","-1.47%","12,322"
018670,SK가스,"211,500",▼,"-10,000","-4.51%","17,321"
019170,신풍제약,"8,490",▼,"-640","-7.01%","273,662"
020000,한섬,"20,650",▼,"-1,500","-6.77%","73,473"
020150,롯데에너지머티리얼즈,"46,900",▼,"-8,400","-15.19%","675,786"
020560,아시아나항공,"6,700",▼,"-140","-2.05%","310,466"
021240,코웨이,"87,600",▼,"-6,600","-7.01%","502,885"
022100,포스코DX,"25,900",▼,"-3,300","-11.30%","1,386,120"
023160,태광,"26,450",▼,"-2,700","-9.26%","234,694"
023530,롯데쇼핑,"164,700",▼,"-8,300","-4.80%","166,497"
023590,다우기술,"36,650",▼,"-2,450","-6.27%","123,321"
024110,기업은행,"20,100",▼,"-550","-2.66%","3,594,302"
024720,콜마홀딩스,"7,800",▼,"-660","-7.80%","134,563"
025320,시노펙스,"4,200",▼,"-400","-8.70%","1,289,350"
025540,한국단자,"70,900",▼,"-4,100","-5.47%","32,445"
025900,동화기업,"7,180",▼,"-860","-10.70%","256,619"
026890,스틱인베스트먼트,"6,810",▼,"-490","-6.71%","108,259"
026960,동서,"23,350",▼,"-300","-1.27%","281,748"
028050,삼성E&A,"44,400",▼,"-3,950","-8.17%","2,372,336"
028260,삼성물산,"406,500",▼,"-54,000","-11.73%","787,423"
028300,HLB,"48,450",▼,"-2,150","-4.25%","1,347,437"
029460,케이씨,"27,750",▼,"-3,050","-9.90%","67,970"
029530,신도리코,"39,700",▼,"-1,100","-2.70%","13,955"
029780,삼성카드,"44,750",▼,"-1,250","-2.72%","163,181"
030000,제일기획,"18,140",▼,"-150","-0.82%","757,656"
030190,NICE평가정보,"13,680",▼,"-420","-2.98%","113,199"
030200,KT,"53,100",▼,"-900","-1.67%","469,800"
030520,한글과컴퓨터,"18,220",▼,"-1,010","-5.25%","306,271"
030610,교보증권,"10,440",▼,"-970","-8.50%","140,211"
031210,서울보증보험,"41,600",▼,"-1,300","-3.03%","90,656"
031430,신세계인터내셔날,"12,960",▼,"-1,000","-7.16%","181,271"
031980,피에스케이홀딩스,"107,400",▼,"-19,000","-15.03%","419,588"
032190,다우데이타,"17,950",▼,"-1,380","-7.14%","173,827"
032350,롯데관광개발,"17,040",▼,"-1,290","-7.04%","682,572"
032500,케이엠더블유,"30,100",▼,"-2,700","-8.23%","962,619"
032640,LG유플러스,"15,630",▲,"310","+2.02%","4,752,527"
032830,삼성생명,"378,000",▼,"-34,500","-8.36%","648,404"
033100,제룡전기,"47,900",▼,"-4,300","-8.24%","343,175"
033240,자화전자,"33,000",▼,"-3,150","-8.71%","504,138"
033270,유나이티드제약,"17,510",▼,"-490","-2.72%","54,284"
033500,동성화인텍,"17,600",▼,"-1,330","-7.03%","379,660"
033640,네패스,"31,000",▼,"-3,600","-10.40%","531,094"
033780,KT&G,"176,000",▼,"-3,300","-1.84%","528,260"
034020,두산에너빌리티,"86,400",▼,"-9,200","-9.62%","8,087,792"
034120,SBS,"12,390",▼,"-450","-3.50%","57,091"
034230,파라다이스,"14,860",▼,"-640","-4.13%","1,650,696"
034310,NICE,"12,180",▼,"-310","-2.48%","83,839"
034730,SK,"579,000",▼,"-46,000","-7.36%","307,909"
034950,한국기업평가,"99,600",▼,"-800","-0.80%","9,302"
035150,백산,"9,990",▼,"-280","-2.73%","56,768"
035250,강원랜드,"14,640",▼,"-420","-2.79%","1,053,374"
035420,NAVER,"285,500",▲,"30,000","+11.74%","23,244,255"
035600,KG이니시스,"9,160",▼,"-450","-4.68%","181,382"
035720,카카오,"38,950",▼,"-1,300","-3.23%","4,537,604"
035760,CJ ENM,"36,600",▼,"-1,700","-4.44%","110,031"
035900,JYP Ent.,"50,300",▼,"-2,900","-5.45%","368,981"
036200,유니셈,"9,170",▼,"-970","-9.57%","600,974"
036460,한국가스공사,"33,650",▼,"-950","-2.75%","596,738"
036530,SNT홀딩스,"46,850",▼,"-2,500","-5.07%","30,009"
036570,NC,"266,000",▼,"-15,500","-5.51%","247,713"
036620,감성코퍼레이션,"4,775",▼,"-295","-5.82%","837,174"
036800,나이스정보통신,"26,500",▼,"-1,300","-4.68%","41,594"
036810,에프에스티,"27,000",▼,"-2,100","-7.22%","283,306"
036830,솔브레인홀딩스,"40,850",▼,"-3,750","-8.41%","109,702"
036890,진성티이씨,"12,670",▼,"-1,300","-9.31%","218,402"
037710,광주신세계,"34,100",▼,"-1,450","-4.08%","35,140"
039030,이오테크닉스,"409,000",▼,"-69,000","-14.44%","203,001"
039130,하나투어,"33,700",▼,"-1,800","-5.07%","105,276"
039200,오스코텍,"40,400",▼,"-1,350","-3.23%","868,841"
039440,에스티아이,"25,100",▼,"-2,900","-10.36%","261,602"
039490,키움증권,"332,000",▼,"-32,000","-8.79%","164,862"
039840,디오,"12,940",▼,"-850","-6.16%","49,472"
041510,에스엠,"70,700",▼,"-3,700","-4.97%","138,351"
041830,인바디,"37,350",▼,"-2,450","-6.16%","93,227"
042000,카페24,"17,940",▼,"-1,320","-6.85%","246,328"
042520,한스바이오메드,"24,200",▼,"-4,250","-14.94%","254,855"
042660,한화오션,"103,000",▼,"-9,200","-8.20%","2,313,405"
042700,한미반도체,"259,000",▼,"-24,000","-8.48%","1,640,738"
043150,바텍,"17,810",▼,"-820","-4.40%","49,944"
043370,피에이치에이,"11,750",▼,"-640","-5.17%","56,900"
044490,태웅,"28,900",▼,"-3,650","-11.21%","232,496"
045100,한양이엔지,"28,100",▼,"-2,200","-7.26%","213,866"
046890,서울반도체,"11,740",▼,"-1,160","-8.99%","1,244,967"
047050,포스코인터내셔널,"54,400",▼,"-4,100","-7.01%","604,891"
047810,한국항공우주,"122,300",▼,"-16,700","-12.01%","1,128,312"
047920,HLB제약,"10,660",▼,"-640","-5.66%","161,184"
049070,인탑스,"18,940",▲,"550","+2.99%","449,070"
051360,토비스,"16,000",▼,"-1,190","-6.92%","104,573"
051500,CJ프레시웨이,"22,700",▼,"-1,000","-4.22%","66,901"
051600,한전KPS,"45,850",▼,"-2,800","-5.76%","272,487"
051900,LG생활건강,"237,000",▼,"-11,000","-4.44%","79,497"
051910,LG화학,"321,500",▼,"-27,500","-7.88%","442,529"
052400,코나아이,"46,650",▼,"-2,600","-5.28%","208,906"
052690,한전기술,"113,700",▼,"-13,600","-10.68%","196,738"
053030,바이넥스,"7,580",▼,"-630","-7.67%","418,775"
053610,프로텍,"67,600",▼,"-6,300","-8.53%","173,574"
053800,안랩,"56,400",▼,"-2,200","-3.75%","89,745"
054950,제이브이엠,"21,400",▼,"-750","-3.39%","74,732"
055550,신한지주,"97,000",▼,"-10,500","-9.77%","3,290,733"
056190,에스에프에이,"23,150",▼,"-2,400","-9.39%","215,498"
057050,현대홈쇼핑,"72,500",▼,"-3,800","-4.98%","12,465"
058470,리노공업,"86,900",▼,"-7,200","-7.65%","1,271,876"
058610,에스피지,"96,100",▼,"-7,600","-7.33%","463,827"
058970,엠로,"21,050",▼,"-1,550","-6.86%","125,618"
059090,미코,"17,860",▼,"-3,140","-14.95%","980,575"
060370,LS마린솔루션,"27,600",▼,"-2,800","-9.21%","341,272"
060980,HL홀딩스,"40,800",▼,"-2,200","-5.12%","48,811"
061090,세나테크놀로지,"43,600",▼,"-6,500","-12.97%","127,704"
062040,산일전기,"216,000",▼,"-5,000","-2.26%","513,381"
064350,현대로템,"175,100",▼,"-16,300","-8.52%","693,313"
064400,LG씨엔에스,"109,200",▼,"-8,300","-7.06%","6,179,611"
064550,바이오니아,"7,250",▼,"-820","-10.16%","298,741"
064760,티씨케이,"234,500",▼,"-29,500","-11.17%","84,129"
064820,케이프,"9,570",▼,"-640","-6.27%","185,772"
064960,SNT모티브,"27,200",▼,"-1,450","-5.06%","145,999"
065350,신성델타테크,"38,000",▼,"-2,600","-6.40%","295,624"
065660,안트로젠,"25,150",▼,"-1,250","-4.73%","69,332"
065680,우주일렉트로,"35,800",▼,"-5,700","-13.73%","84,035"
066570,LG전자,"268,500",▼,"-34,500","-11.39%","9,328,979"
066970,엘앤에프,"124,800",▼,"-15,100","-10.79%","718,725"
067080,대화제약,"10,360",▼,"-1,310","-11.23%","110,627"
067160,SOOP,"46,650",▼,"-1,600","-3.32%","77,629"
068270,셀트리온,"159,200",▼,"-12,200","-7.12%","1,230,731"
068760,셀트리온제약,"40,350",▼,"-3,400","-7.77%","241,580"
069080,웹젠,"9,680",▼,"-420","-4.16%","122,965"
069260,TKG휴켐스,"15,400",▼,"-550","-3.45%","180,156"
069620,대웅제약,"117,700",▼,"-3,400","-2.81%","47,565"
