2026-06-15 12:44:07,992 [INFO]   #1 018880_AL(018880_AL) [🔥주도주/보유주도] | 점수: 503.06점 | 정배열=False, 이격확장=False(기울기:+0.00%) | 등락률: +22.77% (급등:+0.00%) | 이격도: N/A | 수급돌파: False | 일봉보너스: False | 주봉보너스: False | 체결강도: 137.7% | 1억매수: 0건
2026-06-15 12:44:07,992 [INFO]   #2 003490_AL(003490_AL) [🔥주도주/보유주도] | 점수: 481.14점 | 정배열=False, 이격확장=False(기울기:+0.00%) | 등락률: +11.30% (급등:+0.00%) | 이격도: 11.30% | 수급돌파: False | 일봉보너스: False | 주봉보너스: False | 체결강도: 184.1% | 1억매수: 0건
2026-06-15 12:44:07,992 [INFO]   #3 034730_AL(034730_AL) [🔥주도주/보유주도] | 점수: 460.59점 | 정배열=False, 이격확장=False(기울기:+0.00%) | 등락률: +10.94% (급등:+0.00%) | 이격도: 7.77% | 수급돌파: False | 일봉보너스: False | 주봉보너스: False | 체결강도: 175.6% | 1억매수: 0건
2026-06-15 12:44:07,992 [INFO]   #4 122630_AL(122630_AL) [🔥주도주/보유주도] | 점수: 409.06점 | 정배열=False, 이격확장=False(기울기:+0.00%) | 등락률: +11.12% (급등:+0.00%) | 이격도: N/A | 수급돌파: False | 일봉보너스: False | 주봉보너스: False | 체결강도: 98.9% | 1억매수: 2건
2026-06-15 12:44:07,993 [INFO]   #5 009830_AL(009830_AL) [🔥주도주/보유주도] | 점수: 400.28점 | 정배열=False, 이격확장=False(기울기:+0.00%) | 등락률: +11.88% (급등:+0.00%) | 이격도: 11.88% | 수급돌파: False | 일봉보너스: False | 주봉보너스: False | 체결강도: 140.7% | 1억매수: 0건
2026-06-15 12:44:07,993 [INFO]   #6 298040_AL(298040_AL) [🔥주도주/보유주도] | 점수: 388.64점 | 정배열=False, 이격확장=False(기울기:+0.00%) | 등락률: +11.57% (급등:+0.00%) | 이격도: 0.05% | 수급돌파: False | 일봉보너스: False | 주봉보너스: False | 체결강도: 136.4% | 1억매수: 0건
2026-06-15 12:44:07,993 [INFO]   #7 402340_AL(402340_AL) [🔥주도주/보유주도] | 점수: 382.49점 | 정배열=False, 이격확장=False(기울기:+0.00%) | 등락률: +3.66% (급등:+0.00%) | 이격도: 2.70% | 수급돌파: False | 일봉보너스: False | 주봉보너스: False | 체결강도: 97.9% | 1억매수: 3건
2026-06-15 12:44:07,993 [INFO]   #8 009150_AL(009150_AL) [🔥주도주/보유주도] | 점수: 379.10점 | 정배열=False, 이격확장=False(기울기:+0.00%) | 등락률: +10.45% (급등:+0.00%) | 이격도: 7.07% | 수급돌파: False | 일봉보너스: False | 주봉보너스: False | 체결강도: 137.3% | 1억매수: 0건
2026-06-15 12:44:07,993 [INFO]   #9 034020_AL(034020_AL) [🔥주도주/보유주도] | 점수: 352.66점 | 정배열=False, 이격확장=False(기울기:+0.00%) | 등락률: +5.70% (급등:+0.00%) | 이격도: 0.41% | 수급돌파: False | 일봉보너스: False | 주봉보너스: False | 체결강도: 97.8% | 1억매수: 2건
2026-06-15 12:44:07,993 [INFO]   #10 000660_AL(000660_AL) [🔥주도주/보유주도] | 점수: 348.46점 | 정배열=False, 이격확장=False(기울기:+0.00%) | 등락률: +5.13% (급등:+0.00%) | 이격도: 0.97% | 수급돌파: False | 일봉보너스: False | 주봉보너스: False | 체결강도: 123.6% | 1억매수: 1건
2026-06-15 12:44:07,993 [INFO]   #11 0167A0_AL(0167A0_AL) [🔥주도주/보유주도] | 점수: 336.69점 | 정배열=False, 이격확장=False(기울기:+0.00%) | 등락률: +6.54% (급등:+0.00%) | 이격도: N/A | 수급돌파: False | 일봉보너스: False | 주봉보너스: False | 체결강도: 135.6% | 1억매수: 0건
